ID/Cseq,Mature
hsa-let-7a-5p,279172
hsa-let-7b-5p,189521
hsa-let-7c-5p,43556
hsa-let-7d-5p,15870
hsa-let-7e-5p,3313
hsa-let-7f-5p,140162
hsa-let-7g-5p,55867
hsa-let-7i-5p,10890
hsa-miR-101-2-5p,231
hsa-miR-101-5p,231
hsa-miR-103a-1-5p,1106
hsa-miR-103a-2-5p,1105
hsa-miR-106a-5p,185
hsa-miR-106b-5p,991
hsa-miR-107,865
hsa-miR-1229-3p,146
hsa-miR-125a-5p,716
hsa-miR-125b-5p,46
hsa-miR-126-5p,15794
hsa-miR-128-1-5p,162
hsa-miR-1292-5p,40
hsa-miR-1307-5p,531
hsa-miR-130a-5p,693
hsa-miR-1322,59
hsa-miR-1343-5p,29
hsa-miR-134-5p,77
hsa-miR-139-5p,159
hsa-miR-1-3p,68
hsa-miR-140-5p,633
hsa-miR-143-5p,93
hsa-miR-144-5p,13296
hsa-miR-145-5p,147
hsa-miR-146a-5p,5263
hsa-miR-146b-5p,3011
hsa-miR-148a-5p,73
hsa-miR-148b-5p,78
hsa-miR-150-5p,52287
hsa-miR-151b,2365
hsa-miR-155-5p,74
hsa-miR-15a-5p,236
hsa-miR-1-5p,66
hsa-miR-16-5p,11098
hsa-miR-17-5p,1534
hsa-miR-181a-5p,267
hsa-miR-181b-5p,57
hsa-miR-182-5p,119
hsa-miR-183-5p,765
hsa-miR-185-5p,6701
hsa-miR-186-5p,325
hsa-miR-1908-5p,174
hsa-miR-190a-5p,137
hsa-miR-191-5p,14647
hsa-miR-192-5p,629
hsa-miR-193a-5p,157
hsa-miR-194-5p,1089
hsa-miR-196a-5p,53
hsa-miR-196a-5p,55
hsa-miR-196b-5p,109
hsa-miR-197-5p,104
hsa-miR-199a-5p,325
hsa-miR-199b-5p,325
hsa-miR-19a-5p,1276
hsa-miR-19b-1-5p,2954
hsa-miR-19b-2-5p,2954
hsa-miR-200c-5p,64
hsa-miR-20a-5p,343
hsa-miR-20b-5p,414
hsa-miR-210-5p,44
hsa-miR-2110,110
hsa-miR-215-5p,36
hsa-miR-21-5p,9382
hsa-miR-221-5p,450
hsa-miR-222-5p,436
hsa-miR-224-5p,190
hsa-miR-22-5p,153
hsa-miR-23b-5p,2211
hsa-miR-24-1-5p,5479
hsa-miR-26a-5p,1110
hsa-miR-26a-5p,1115
hsa-miR-26b-5p,2566
hsa-miR-27a-5p,243
hsa-miR-27b-5p,117
hsa-miR-28-5p,648
hsa-miR-296-5p,72
hsa-miR-29a-5p,927
hsa-miR-29b-1-5p,3173
hsa-miR-29b-2-5p,3173
hsa-miR-29c-5p,381
hsa-miR-30a-5p,50
hsa-miR-30b-5p,183
hsa-miR-30c-5p,902
hsa-miR-30e-5p,2429
hsa-miR-320a-5p,1462
hsa-miR-320b,1130
hsa-miR-320c,516
hsa-miR-320c,517
hsa-miR-324-5p,381
hsa-miR-32-5p,729
hsa-miR-326,563
hsa-miR-328-5p,1758
hsa-miR-331-5p,329
hsa-miR-335-5p,358
hsa-miR-337-5p,95
hsa-miR-340-5p,160
hsa-miR-361-5p,154
hsa-miR-363-5p,265
hsa-miR-369-5p,86
hsa-miR-370-5p,45
hsa-miR-374a-5p,839
hsa-miR-374b-5p,1820
hsa-miR-374c-5p,25
hsa-miR-376c-5p,29
hsa-miR-379-5p,76
hsa-miR-382-5p,336
hsa-miR-3940-5p,74
hsa-miR-409-5p,810
hsa-miR-421,131
hsa-miR-423-5p,28838
hsa-miR-432-5p,275
hsa-miR-4433b-5p,231
hsa-miR-4446-5p,86
hsa-miR-451a,13657
hsa-miR-454-5p,3143
hsa-miR-4685-5p,90
hsa-miR-484,1412
hsa-miR-485-5p,73
hsa-miR-486-5p,96649
hsa-miR-487b-5p,63
hsa-miR-494-5p,62
hsa-miR-495-5p,81
hsa-miR-5010-5p,29
hsa-miR-505-5p,588
hsa-miR-539-5p,33
hsa-miR-543,55
hsa-miR-570-5p,32
hsa-miR-576-5p,226
hsa-miR-582-5p,19
hsa-miR-590-5p,160
hsa-miR-625-5p,250
hsa-miR-629-5p,78
hsa-miR-6511b-5p,99
hsa-miR-652-5p,53
hsa-miR-660-5p,249
hsa-miR-6793-5p,28
hsa-miR-744-5p,584
hsa-miR-7-5p,1598
hsa-miR-766-5p,187
hsa-miR-92a-1-5p,40020
hsa-miR-92a-2-5p,38986
hsa-miR-92b-5p,313
hsa-miR-93-5p,4726
hsa-miR-942-5p,45
hsa-miR-98-5p,4035
